scene,prior,model_id,model,varying_parameter,fixed_parameter,from_value,to_value,rank_from,rank_to,rank_jump
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.05000000000000002,0.625,0.64375,5,4,-1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,0.0,0.625,0.64375,5,4,-1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,0.04999999999999999,0.625,0.64375,5,4,-1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,0.09999999999999998,0.625,0.64375,5,4,-1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,0.14999999999999997,0.625,0.64375,5,4,-1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,0.19999999999999996,0.60625,0.625,5,4,-1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,0.24999999999999994,0.60625,0.625,5,4,-1
dialogue,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,0.3,0.60625,0.625,5,4,-1
dialogue,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),alpha,-0.3,0.64375,0.6625,4,5,1
dialogue,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),alpha,-0.3,0.6625,0.6812499999999999,5,6,1
dialogue,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),alpha,-0.25,0.64375,0.6625,4,5,1
dialogue,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),alpha,-0.25,0.6625,0.6812499999999999,5,6,1
dialogue,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),alpha,-0.2,0.64375,0.6625,4,5,1
dialogue,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),alpha,-0.2,0.6625,0.6812499999999999,5,6,1
dialogue,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),alpha,-0.15,0.64375,0.6625,4,5,1
dialogue,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),alpha,-0.15,0.6625,0.6812499999999999,5,6,1
dialogue,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),alpha,-0.1,0.64375,0.6625,4,5,1
dialogue,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),alpha,-0.1,0.6625,0.6812499999999999,5,6,1
dialogue,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),alpha,-0.05000000000000002,0.625,0.64375,4,5,1
