bootstrap_id,source_bootstrap_id,model_id,model_name,model_base_name,model_setting,scenario,scenario_code,scenario_name,utility,source_version
4,q1_uncertainty_normal_approx_0004,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,General,General,大众日常通用对话,0.6750797029227481,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,General,General,大众日常通用对话,0.8717680465385539,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,General,General,大众日常通用对话,0.9781137775536236,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,General,General,大众日常通用对话,0.8862823540910868,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,General,General,大众日常通用对话,0.8453573395363507,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",Coding,Coding,计算机代码开发,0.9825766670885345,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,Coding,Coding,计算机代码开发,0.9301566119374994,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,Coding,Coding,计算机代码开发,0.8420564585806306,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,Coding,Coding,计算机代码开发,0.8352571604867873,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,Coding,Coding,计算机代码开发,0.916754384237644,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,Coding,Coding,计算机代码开发,0.8380856089789362,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,Coding,Coding,计算机代码开发,0.9130809243768161,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,Coding,Coding,计算机代码开发,0.9216091571523326,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Coding,Coding,计算机代码开发,0.954399399143472,Q2_SCENARIO_UTILITY_v1.0
4,q1_uncertainty_normal_approx_0004,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Coding,Coding,计算机代码开发,0.9214901825242816,Q2_SCENARIO_UTILITY_v1.0
5,q1_uncertainty_normal_approx_0005,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",Research,Research,科研长文本分析,0.9136775600502869,Q2_SCENARIO_UTILITY_v1.0
5,q1_uncertainty_normal_approx_0005,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,Research,Research,科研长文本分析,0.9073402100069873,Q2_SCENARIO_UTILITY_v1.0
5,q1_uncertainty_normal_approx_0005,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,Research,Research,科研长文本分析,0.8743339889027494,Q2_SCENARIO_UTILITY_v1.0
5,q1_uncertainty_normal_approx_0005,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,Research,Research,科研长文本分析,0.891713998698621,Q2_SCENARIO_UTILITY_v1.0
5,q1_uncertainty_normal_approx_0005,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,Research,Research,科研长文本分析,0.8363103067095389,Q2_SCENARIO_UTILITY_v1.0
5,q1_uncertainty_normal_approx_0005,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,Research,Research,科研长文本分析,0.8457388458182017,Q2_SCENARIO_UTILITY_v1.0
5,q1_uncertainty_normal_approx_0005,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,Research,Research,科研长文本分析,0.9246934321462483,Q2_SCENARIO_UTILITY_v1.0
5,q1_uncertainty_normal_approx_0005,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,Research,Research,科研长文本分析,0.9386626013286111,Q2_SCENARIO_UTILITY_v1.0
5,q1_uncertainty_normal_approx_0005,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Research,Research,科研长文本分析,0.9360407126007695,Q2_SCENARIO_UTILITY_v1.0
5,q1_uncertainty_normal_approx_0005,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Research,Research,科研长文本分析,0.8650163572750089,Q2_SCENARIO_UTILITY_v1.0
5,q1_uncertainty_normal_approx_0005,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",General,General,大众日常通用对话,0.929388505314575,Q2_SCENARIO_UTILITY_v1.0
