uncertainty_scope,perspective,model_id,model,dimension,theta_bootstrap_mean,theta_bootstrap_sd,score_bootstrap_mean,score_bootstrap_sd,score_ci_low,score_ci_high,rank_ci_low,rank_ci_high,T_d,top3_probability,availability_note
Q1_RANKING,A,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",RANKING_A,,,53.96781045231015,17.879991377582474,20.023459646375986,85.95956849815813,1.0,9.0,,0.53,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,A,claude_opus_4_8_max,Claude Opus 4.8 (max),RANKING_A,,,45.98980402625517,18.489745430141962,18.062124071873885,81.29179391693056,1.0,10.0,,0.3555,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,A,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,RANKING_A,,,23.635287455291685,10.029362985756654,6.211223940995981,44.936889146203626,5.0,10.0,,0.0045,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,A,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,RANKING_A,,,26.409201374058906,11.142472363678266,7.170587068571254,49.38443958246052,4.0,10.0,,0.0215,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,A,gemini_3_1_pro_high,Gemini-3.1-Pro (High),RANKING_A,,,48.1393294587135,16.858460094226498,17.057776477213988,80.1329325666285,1.0,10.0,,0.391,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,A,glm_5_2_max,GLM-5.2 (max),RANKING_A,,,23.89228403074976,8.140382672763142,10.227660454746363,41.51696076565446,5.0,10.0,,0.003,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,A,gpt_5_5_xhigh,GPT-5.5 (xhigh),RANKING_A,,,46.38530891425936,18.22784462002803,18.02141911280162,80.81793781141293,1.0,10.0,,0.3605,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,A,gpt_5_6_sol_max,GPT-5.6 Sol (max),RANKING_A,,,54.314172192572954,18.986673247971822,19.500774103762193,84.3796083583292,1.0,9.0,,0.538,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,A,kimi_k3_max,Kimi K3 (max reasoning),RANKING_A,,,48.928874702559625,18.53928126002151,17.012445713996517,81.8430121671603,1.0,10.0,,0.4225,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,A,qwen3_8_max,Qwen3.8-Max,RANKING_A,,,48.17165128220948,14.894614806122636,19.417138180156556,76.20098578543463,1.0,9.0,,0.3735,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,B,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",RANKING_B,,,55.4265796828565,17.22622954518369,22.003223956388076,85.61585376845287,1.0,10.0,,0.4895,overall ranking bootstrap row; theta fields not applicable
