bootstrap,model_id,overall_score,rank
28,claude_opus_4_8_max,67.58676190570928,2
28,gpt_5_6_sol_max,65.94561248661753,3
28,kimi_k3_max,65.70096226879846,4
28,gemini_3_1_pro_high,60.17708781352681,5
28,gpt_5_5_xhigh,59.402439694546786,6
28,qwen3_8_max,51.10533154069809,7
28,claude_fable_5_max,51.04660973746492,8
28,glm_5_2_max,31.946813220427153,9
28,deepseek_v4_flash_max,19.646923240422804,10
29,gpt_5_6_sol_max,79.75246459040525,1
29,kimi_k3_max,69.95935995620765,2
29,gemini_3_1_pro_high,67.2809969128865,3
29,deepseek_v4_pro_max,58.96624217777518,4
29,glm_5_2_max,46.65194548180451,5
29,qwen3_8_max,46.55273208462481,6
29,gpt_5_5_xhigh,41.4407212423145,7
29,claude_fable_5_max,38.94611757946903,8
29,claude_opus_4_8_max,37.86716515956752,9
29,deepseek_v4_flash_max,23.359560496952064,10
30,claude_fable_5_max,82.92657970697853,1
30,kimi_k3_max,72.12221904446449,2
30,gemini_3_1_pro_high,65.43696047943972,3
30,gpt_5_5_xhigh,52.86795817961375,4
30,qwen3_8_max,47.158417784190505,5
30,deepseek_v4_pro_max,43.00211528235957,6
30,deepseek_v4_flash_max,41.9956802284496,7
30,claude_opus_4_8_max,36.87338610929355,8
30,glm_5_2_max,34.14038622676381,9
30,gpt_5_6_sol_max,27.37886720307276,10
31,claude_fable_5_max,84.6577941536344,1
31,gemini_3_1_pro_high,62.732889943713914,2
31,deepseek_v4_pro_max,61.90160768259133,3
31,gpt_5_5_xhigh,52.60685124997686,4
31,gpt_5_6_sol_max,42.15018050305027,5
31,kimi_k3_max,41.47331612912015,6
31,claude_opus_4_8_max,40.60861553397697,7
31,qwen3_8_max,37.15841216200921,8
31,glm_5_2_max,13.868607740736817,9
31,deepseek_v4_flash_max,13.153627251793035,10
32,deepseek_v4_pro_max,83.68138667473245,1
32,claude_fable_5_max,60.200644107002034,2
32,deepseek_v4_flash_max,49.17836104817394,3
32,glm_5_2_max,48.721109578684164,4
32,claude_opus_4_8_max,44.71351558679191,5
32,gpt_5_5_xhigh,40.12828508999084,6
32,gemini_3_1_pro_high,39.13646629440332,7
32,gpt_5_6_sol_max,34.97322230316531,8
32,kimi_k3_max,29.636952970675274,9
32,qwen3_8_max,28.93294759055894,10
33,gemini_3_1_pro_high,85.08973908245613,1
33,kimi_k3_max,64.04092182878699,2
33,gpt_5_5_xhigh,49.7177836154149,3
33,gpt_5_6_sol_max,48.761260609449664,4
33,claude_fable_5_max,45.388711859882925,5
33,glm_5_2_max,44.51456591144051,6
33,deepseek_v4_pro_max,40.4116802625598,7
33,deepseek_v4_flash_max,34.2236780328562,8
33,claude_opus_4_8_max,30.330019440840093,9
33,qwen3_8_max,19.588917518114563,10
34,deepseek_v4_pro_max,73.70116544270624,1
34,glm_5_2_max,66.53342840959952,2
34,claude_fable_5_max,62.357312440080435,3
34,claude_opus_4_8_max,54.33302206815186,4
34,gemini_3_1_pro_high,54.26928098947156,5
34,gpt_5_6_sol_max,53.626572369328485,6
34,deepseek_v4_flash_max,46.12532297664893,7
34,kimi_k3_max,44.25415576165118,8
34,qwen3_8_max,29.413631016856712,9
34,gpt_5_5_xhigh,29.29494788407436,10
35,gemini_3_1_pro_high,73.31915319216219,1
