bootstrap,dimension,converged,message
47,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
47,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
47,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
47,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
47,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
48,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
48,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
48,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
48,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
48,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
49,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
49,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
49,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
49,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
49,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
50,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
50,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
50,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
50,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
50,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
51,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
51,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
51,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
51,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
51,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
52,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
52,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
52,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
52,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
52,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
53,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
53,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
53,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
53,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
53,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
54,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
54,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
54,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
54,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
54,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
55,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
55,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
55,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
55,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
55,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
56,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
56,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
56,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
56,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
56,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
57,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
57,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
57,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
57,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
57,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
58,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
58,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
