bootstrap,model_id,overall_score,rank
59,claude_opus_4_8_max,39.10337454982813,4
59,gemini_3_1_pro_high,38.56675728168531,5
59,qwen3_8_max,33.52214327685226,6
59,gpt_5_5_xhigh,23.158449095815843,7
60,gpt_5_5_xhigh,71.05770319714856,1
60,claude_opus_4_8_max,61.498070119732574,2
60,gemini_3_1_pro_high,60.24340236763485,3
60,claude_fable_5_max,60.164724298320365,4
60,kimi_k3_max,48.342275006140945,5
60,gpt_5_6_sol_max,38.47896045983641,6
60,qwen3_8_max,31.773361871868627,7
61,gpt_5_6_sol_max,80.13402632488888,1
61,kimi_k3_max,76.94682967823596,2
61,gpt_5_5_xhigh,64.56340878101201,3
61,claude_fable_5_max,60.45140954111609,4
61,qwen3_8_max,26.228000536741487,5
61,claude_opus_4_8_max,21.748613118006507,6
61,gemini_3_1_pro_high,15.681576885326216,7
62,qwen3_8_max,74.17413053946852,1
62,gpt_5_6_sol_max,62.8668392658292,2
62,gemini_3_1_pro_high,56.219097962320866,3
62,claude_fable_5_max,54.598747454587674,4
62,kimi_k3_max,51.58442976911833,5
62,gpt_5_5_xhigh,50.182236898773006,6
62,claude_opus_4_8_max,32.73386018449318,7
63,kimi_k3_max,79.56845426312773,1
63,qwen3_8_max,60.34388130681947,2
63,gpt_5_6_sol_max,42.61694712910412,3
63,claude_fable_5_max,37.543202778305144,4
63,gpt_5_5_xhigh,29.951192300980605,5
63,claude_opus_4_8_max,29.40290218071382,6
63,gemini_3_1_pro_high,20.017788279592295,7
64,gpt_5_5_xhigh,55.02620239690616,1
64,kimi_k3_max,44.57215677356416,2
64,gpt_5_6_sol_max,39.65226683234647,3
64,claude_fable_5_max,33.710232704322706,4
64,claude_opus_4_8_max,32.56844899453537,5
64,gemini_3_1_pro_high,27.25332561085663,6
64,qwen3_8_max,23.91803709403785,7
65,gpt_5_6_sol_max,73.80841327582306,1
65,qwen3_8_max,61.965782705126884,2
65,gpt_5_5_xhigh,60.45201552518823,3
65,claude_fable_5_max,56.704220959589485,4
65,kimi_k3_max,43.10612983032892,5
65,gemini_3_1_pro_high,42.511284824716284,6
65,claude_opus_4_8_max,34.338225504318565,7
66,claude_fable_5_max,75.55609658013714,1
66,kimi_k3_max,58.50459544540378,2
66,claude_opus_4_8_max,52.34647412853251,3
66,gpt_5_6_sol_max,48.438766800079335,4
66,gpt_5_5_xhigh,45.97221628917074,5
66,qwen3_8_max,37.99973010265569,6
66,gemini_3_1_pro_high,36.93147283633354,7
67,kimi_k3_max,74.70603843418066,1
67,gpt_5_6_sol_max,73.69017146999346,2
67,gpt_5_5_xhigh,66.9901943146531,3
67,qwen3_8_max,63.87608569569137,4
67,claude_fable_5_max,44.455785387900086,5
67,gemini_3_1_pro_high,35.67499214976853,6
67,claude_opus_4_8_max,29.000293299626033,7
68,kimi_k3_max,82.41966477410205,1
68,gemini_3_1_pro_high,76.202324795888,2
68,qwen3_8_max,75.01195477145926,3
68,claude_opus_4_8_max,45.823904513872634,4
68,gpt_5_6_sol_max,38.369225511906876,5
68,gpt_5_5_xhigh,29.776948266775907,6
68,claude_fable_5_max,20.571627916085106,7
69,claude_opus_4_8_max,74.99035887095191,1
69,claude_fable_5_max,67.9414221195109,2
69,gpt_5_5_xhigh,61.14985977446932,3
69,qwen3_8_max,55.54616760310637,4
69,gpt_5_6_sol_max,51.22963362388778,5
69,gemini_3_1_pro_high,47.04996516917174,6
69,kimi_k3_max,36.82390650383371,7
70,kimi_k3_max,85.35558405214593,1
70,claude_opus_4_8_max,65.40402527189347,2
70,gpt_5_5_xhigh,61.01134161560658,3
70,qwen3_8_max,60.14946027660985,4
70,gemini_3_1_pro_high,48.40736735664859,5
70,gpt_5_6_sol_max,41.45182221943216,6
70,claude_fable_5_max,34.82018685285909,7
71,gemini_3_1_pro_high,78.1290476391304,1
71,gpt_5_5_xhigh,67.80313778213687,2
71,qwen3_8_max,51.34803928535433,3
71,kimi_k3_max,48.29217549069955,4
71,claude_fable_5_max,45.46490694703934,5
71,gpt_5_6_sol_max,43.49914990647158,6
71,claude_opus_4_8_max,41.36724089370173,7
72,gpt_5_6_sol_max,79.12635697701998,1
72,claude_opus_4_8_max,59.808715084061085,2
72,claude_fable_5_max,56.59067649030949,3
72,gpt_5_5_xhigh,52.764017717431905,4
72,kimi_k3_max,49.7104784308209,5
72,gemini_3_1_pro_high,48.839885930874175,6
72,qwen3_8_max,24.96972913584291,7
73,claude_opus_4_8_max,68.69607030035837,1
73,kimi_k3_max,61.364311465619416,2
73,qwen3_8_max,47.71890020576781,3
73,gpt_5_6_sol_max,37.57708736467953,4
73,claude_fable_5_max,36.29775546348354,5
73,gemini_3_1_pro_high,28.05961625741356,6
73,gpt_5_5_xhigh,26.558879758141636,7
74,gpt_5_5_xhigh,71.3445344768306,1
74,claude_fable_5_max,61.768964370778775,2
74,gemini_3_1_pro_high,48.453898737989235,3
74,gpt_5_6_sol_max,47.7483793304573,4
74,kimi_k3_max,38.10380980294654,5
74,qwen3_8_max,28.32494012841626,6
74,claude_opus_4_8_max,14.416368146007699,7
75,claude_fable_5_max,86.85320165153388,1
75,gpt_5_5_xhigh,53.35446176237299,2
75,gemini_3_1_pro_high,46.293845861589936,3
75,claude_opus_4_8_max,39.98753406006072,4
75,kimi_k3_max,17.48895759071131,5
75,qwen3_8_max,16.343901806956023,6
75,gpt_5_6_sol_max,15.43097000974852,7
76,qwen3_8_max,74.85823128360488,1
76,gpt_5_6_sol_max,68.18886878698044,2
76,gpt_5_5_xhigh,64.37480927165778,3
76,claude_opus_4_8_max,50.14484404941746,4
76,claude_fable_5_max,37.24256438216853,5
76,kimi_k3_max,15.882875263159422,6
76,gemini_3_1_pro_high,7.806210276873996,7
77,gpt_5_6_sol_max,72.82682483580732,1
77,claude_fable_5_max,72.12657023605392,2
77,kimi_k3_max,70.1517759739314,3
77,gpt_5_5_xhigh,67.6454609606231,4
77,gemini_3_1_pro_high,60.65970539820544,5
77,qwen3_8_max,55.90334235778735,6
77,claude_opus_4_8_max,23.85312513654867,7
78,claude_opus_4_8_max,67.19684993407006,1
78,kimi_k3_max,66.19728395149777,2
78,gemini_3_1_pro_high,54.795316836777815,3
78,gpt_5_6_sol_max,53.09652524716961,4
78,gpt_5_5_xhigh,34.393601825048485,5
78,qwen3_8_max,32.653101129569265,6
78,claude_fable_5_max,24.390889903585688,7
79,claude_fable_5_max,83.8120390531721,1
79,kimi_k3_max,59.58913234917749,2
79,qwen3_8_max,49.944586805122015,3
79,claude_opus_4_8_max,49.388538632056054,4
79,gpt_5_5_xhigh,37.084563150644236,5
79,gpt_5_6_sol_max,30.72835081723113,6
79,gemini_3_1_pro_high,24.328881802605245,7
80,gpt_5_5_xhigh,70.53018745481153,1
80,kimi_k3_max,47.50020737049883,2
