bootstrap,dimension,model_id,theta
5,C5,glm_5_2_max,
6,C1,kimi_k3_max,-0.002852520135306173
6,C1,gpt_5_6_sol_max,-0.0011196887880778443
6,C1,gpt_5_5_xhigh,0.01572156789564796
6,C1,claude_fable_5_max,0.0405894446471602
6,C1,claude_opus_4_8_max,0.02611958440967493
6,C1,gemini_3_1_pro_high,-0.012884314891159722
6,C1,deepseek_v4_pro_max,-0.00938166704961811
6,C1,deepseek_v4_flash_max,-0.047934896001796415
6,C1,qwen3_8_max,0.006268250388543284
6,C1,glm_5_2_max,-0.014525760475068117
6,C2,kimi_k3_max,0.054464330228924475
6,C2,gpt_5_6_sol_max,-0.0064972365092664025
6,C2,gpt_5_5_xhigh,0.0012618881299773152
6,C2,claude_fable_5_max,0.0918095195433338
6,C2,claude_opus_4_8_max,-0.00828131739983943
6,C2,gemini_3_1_pro_high,-0.005688076885815318
6,C2,deepseek_v4_pro_max,-0.06466723365820612
6,C2,deepseek_v4_flash_max,-0.013759186663915804
6,C2,qwen3_8_max,-0.05781576387458617
6,C2,glm_5_2_max,0.009173077089393649
6,C3,kimi_k3_max,-0.00903676139616261
6,C3,gpt_5_6_sol_max,0.01219864359423086
6,C3,gpt_5_5_xhigh,0.010359609933838996
6,C3,claude_fable_5_max,-0.016000968932658274
6,C3,claude_opus_4_8_max,0.022401020200921704
6,C3,gemini_3_1_pro_high,0.03251005401223707
6,C3,deepseek_v4_pro_max,-0.10050290184607973
6,C3,deepseek_v4_flash_max,0.06192415266680625
6,C3,qwen3_8_max,-0.0051593513156108165
6,C3,glm_5_2_max,-0.008693496917523462
6,C4,kimi_k3_max,-0.036428537430240424
6,C4,gpt_5_6_sol_max,-0.007077795932532766
6,C4,gpt_5_5_xhigh,0.01268130129392668
6,C4,claude_fable_5_max,-0.01646505255160168
6,C4,claude_opus_4_8_max,-0.002953656908131967
6,C4,gemini_3_1_pro_high,-0.001195014175304235
6,C4,deepseek_v4_pro_max,0.11170903507578732
6,C4,deepseek_v4_flash_max,-0.11295458930537482
6,C4,qwen3_8_max,-0.0033012400961879972
6,C4,glm_5_2_max,0.05598555002965989
6,C5,kimi_k3_max,-0.04567532407704186
6,C5,gpt_5_6_sol_max,-0.009301869775494588
6,C5,gpt_5_5_xhigh,0.1593928264694447
6,C5,claude_fable_5_max,0.02584382842113704
6,C5,claude_opus_4_8_max,-0.1516100530896683
6,C5,gemini_3_1_pro_high,0.015644836837918626
6,C5,deepseek_v4_pro_max,
6,C5,deepseek_v4_flash_max,
6,C5,qwen3_8_max,0.005705755213704372
6,C5,glm_5_2_max,
7,C1,kimi_k3_max,-0.0017326802719607962
7,C1,gpt_5_6_sol_max,0.017322357173439183
7,C1,gpt_5_5_xhigh,-0.002809544213931074
7,C1,claude_fable_5_max,-0.033971778666028955
7,C1,claude_opus_4_8_max,0.0066832664851745995
7,C1,gemini_3_1_pro_high,0.03035567667357494
7,C1,deepseek_v4_pro_max,0.012039930827666936
7,C1,deepseek_v4_flash_max,-0.02563975926875477
7,C1,qwen3_8_max,-0.0008378212725527453
7,C1,glm_5_2_max,-0.0014096474666273236
7,C2,kimi_k3_max,-0.014379221525388957
7,C2,gpt_5_6_sol_max,0.03313391114688961
7,C2,gpt_5_5_xhigh,-0.0165122279440603
7,C2,claude_fable_5_max,0.07916657779430433
7,C2,claude_opus_4_8_max,-0.007844208868110443
7,C2,gemini_3_1_pro_high,-0.00390892142872991
7,C2,deepseek_v4_pro_max,-0.03520116291181218
7,C2,deepseek_v4_flash_max,0.010330847326397352
7,C2,qwen3_8_max,-0.025885920297495726
