bootstrap,model_id,overall_score,rank
27,qwen3_8_max,20.994593345462857,9
27,deepseek_v4_flash_max,14.881290077138626,10
28,claude_opus_4_8_max,83.08201613103259,1
28,gpt_5_5_xhigh,62.91170032810777,2
28,gemini_3_1_pro_high,53.78472986232889,3
28,qwen3_8_max,47.45771909221011,4
28,gpt_5_6_sol_max,43.137971092970425,5
28,deepseek_v4_pro_max,39.224795603357364,6
28,claude_fable_5_max,35.76133514721134,7
28,kimi_k3_max,33.73597044454459,8
28,glm_5_2_max,16.674460059532706,9
28,deepseek_v4_flash_max,9.849511499877597,10
29,gpt_5_5_xhigh,73.59198167717592,1
29,gemini_3_1_pro_high,66.90730994181754,2
29,gpt_5_6_sol_max,66.22064789246369,3
29,claude_opus_4_8_max,46.983674046293565,4
29,kimi_k3_max,40.44176104400191,5
29,deepseek_v4_pro_max,27.108857069443694,6
29,glm_5_2_max,21.369294661317674,7
29,qwen3_8_max,20.946998039803077,8
29,claude_fable_5_max,19.43711045029934,9
29,deepseek_v4_flash_max,10.270092717688135,10
30,claude_opus_4_8_max,68.48840538621488,1
30,kimi_k3_max,55.424647691826905,2
30,claude_fable_5_max,52.25188833224391,3
30,gpt_5_5_xhigh,35.06697958373945,4
30,gemini_3_1_pro_high,32.801950090506445,5
30,qwen3_8_max,28.877896943760053,6
30,gpt_5_6_sol_max,27.191164557306834,7
30,deepseek_v4_pro_max,21.505178699793518,8
30,deepseek_v4_flash_max,20.77336409458587,9
30,glm_5_2_max,17.254050016588078,10
31,claude_fable_5_max,76.23650464256156,1
31,claude_opus_4_8_max,70.85221804463445,2
31,gemini_3_1_pro_high,68.27003762063991,3
31,gpt_5_5_xhigh,46.00532209548878,4
31,qwen3_8_max,40.612245347493676,5
31,deepseek_v4_pro_max,31.877529035360233,6
31,kimi_k3_max,21.593754387093885,7
31,gpt_5_6_sol_max,21.098560446564452,8
31,glm_5_2_max,7.574739442861416,9
31,deepseek_v4_flash_max,5.956507767418973,10
32,claude_fable_5_max,76.4118832000556,1
32,gpt_5_6_sol_max,62.84673349963521,2
32,qwen3_8_max,55.32625830252474,3
32,deepseek_v4_pro_max,47.26528885040932,4
32,kimi_k3_max,41.23008124396227,5
32,gpt_5_5_xhigh,40.361286144369494,6
32,claude_opus_4_8_max,30.958300453275584,7
32,glm_5_2_max,27.64707267192522,8
32,deepseek_v4_flash_max,27.05281684577733,9
32,gemini_3_1_pro_high,22.108052353435262,10
33,kimi_k3_max,77.27161319006001,1
33,gemini_3_1_pro_high,71.00978135625382,2
33,gpt_5_6_sol_max,55.6957031760237,3
33,claude_fable_5_max,52.390432677361076,4
33,gpt_5_5_xhigh,44.007844746826265,5
33,qwen3_8_max,36.61704887824272,6
33,glm_5_2_max,28.28704569303515,7
33,deepseek_v4_pro_max,24.283730510947116,8
33,deepseek_v4_flash_max,21.063069828233722,9
33,claude_opus_4_8_max,18.19542874605551,10
34,kimi_k3_max,66.24720137772356,1
34,gemini_3_1_pro_high,61.088221472918946,2
34,claude_opus_4_8_max,60.11542207054203,3
34,claude_fable_5_max,54.50600352830949,4
34,gpt_5_5_xhigh,51.43062200879185,5
34,qwen3_8_max,46.08628747135796,6
34,deepseek_v4_pro_max,43.42407074905208,7
34,glm_5_2_max,38.66825094981679,8
34,gpt_5_6_sol_max,31.14241783626685,9
34,deepseek_v4_flash_max,26.888414574216604,10
